[ 2024-12-14 19:12:23,399 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-14 19:12:29,750 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-14 19:12:29,750 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-14 19:12:29,751 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-14 19:12:29,820 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-14 19:12:29,820 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-14 19:12:29,830 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-14 19:12:29,875 ] 32 root - INFO - Required number of columns:2
[ 2024-12-14 19:12:29,875 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-14 19:12:29,876 ] 32 root - INFO - Required number of columns:2
[ 2024-12-14 19:12:29,876 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-14 19:12:30,031 ] 28 root - INFO - data Validation Completed
[ 2024-12-14 19:12:30,031 ] 31 root - INFO - data Transformation started
[ 2024-12-14 19:12:30,031 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-14 19:12:30,031 ] 65 root - INFO - Starting data transformation
[ 2024-12-14 19:12:30,051 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-14 19:12:30,052 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-14 19:12:30,064 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-14 19:12:30,069 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-14 19:12:30,069 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-14 19:12:30,071 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-14 19:12:30,073 ] 35 root - INFO - data Transformation completed
[ 2024-12-14 19:12:30,073 ] 37 root - INFO - Model Training stared
