[ 2024-12-14 18:38:54,049 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-14 18:39:00,240 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-14 18:39:00,240 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-14 18:39:00,241 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-14 18:39:00,307 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-14 18:39:00,307 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-14 18:39:00,316 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-14 18:39:00,362 ] 32 root - INFO - Required number of columns:2
[ 2024-12-14 18:39:00,362 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-14 18:39:00,362 ] 32 root - INFO - Required number of columns:2
[ 2024-12-14 18:39:00,362 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-14 18:39:00,511 ] 28 root - INFO - data Validation Completed
[ 2024-12-14 18:39:00,511 ] 31 root - INFO - data Transformation started
[ 2024-12-14 18:39:00,511 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-14 18:39:00,511 ] 65 root - INFO - Starting data transformation
[ 2024-12-14 18:39:00,535 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-14 18:39:00,535 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-14 18:39:00,550 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-14 18:39:00,552 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-14 18:39:00,553 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-14 18:39:00,555 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-14 18:39:00,556 ] 35 root - INFO - data Transformation completed
[ 2024-12-14 18:39:00,557 ] 37 root - INFO - Model Training stared
