[ 2024-12-14 19:19:45,376 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-14 19:19:51,731 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-14 19:19:51,732 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-14 19:19:51,732 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-14 19:19:51,794 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-14 19:19:51,794 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-14 19:19:51,803 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-14 19:19:51,849 ] 32 root - INFO - Required number of columns:2
[ 2024-12-14 19:19:51,849 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-14 19:19:51,849 ] 32 root - INFO - Required number of columns:2
[ 2024-12-14 19:19:51,849 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-14 19:19:52,001 ] 28 root - INFO - data Validation Completed
[ 2024-12-14 19:19:52,001 ] 31 root - INFO - data Transformation started
[ 2024-12-14 19:19:52,001 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-14 19:19:52,001 ] 65 root - INFO - Starting data transformation
[ 2024-12-14 19:19:52,023 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-14 19:19:52,023 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-14 19:19:52,037 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-14 19:19:52,040 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-14 19:19:52,040 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-14 19:19:52,043 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-14 19:19:52,044 ] 35 root - INFO - data Transformation completed
[ 2024-12-14 19:19:52,044 ] 37 root - INFO - Model Training stared
