[ 2024-12-13 16:38:25,391 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-13 16:38:31,366 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-13 16:38:31,366 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-13 16:38:31,367 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-13 16:38:31,429 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-13 16:38:31,429 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-13 16:38:31,448 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-13 16:38:31,495 ] 32 root - INFO - Required number of columns:2
[ 2024-12-13 16:38:31,496 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-13 16:38:31,496 ] 32 root - INFO - Required number of columns:2
[ 2024-12-13 16:38:31,496 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-13 16:38:31,653 ] 28 root - INFO - data Validation Completed
[ 2024-12-13 16:38:31,655 ] 31 root - INFO - data Transformation started
[ 2024-12-13 16:38:31,655 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-13 16:38:31,655 ] 65 root - INFO - Starting data transformation
[ 2024-12-13 16:38:31,676 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-13 16:38:31,676 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-13 16:38:31,690 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-13 16:38:31,693 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-13 16:38:31,694 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-13 16:38:31,696 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-13 16:38:31,698 ] 35 root - INFO - data Transformation completed
[ 2024-12-13 16:38:31,698 ] 37 root - INFO - Model Training stared
